   JOINT #   DIRECTION    Pound-mass(inch)
   -------   ---------     = LBf/386.08858

      3917       X             0.238017
      3917       Y             0.238017
      3917       Z             0.238017
      3930       X             0.193690
      3930       Y             0.193690
      3930       Z             0.193690
      3931       X             0.196417
      3931       Y             0.196417
      3931       Z             0.196417
      3941       X             0.240744
      3941       Y             0.240744
      3941       Z             0.240744
      4757       X             0.433981
      4757       Y             0.433981
      4757       Z             0.433981
      9047       Y             0.370711
      3707       X             0.278468
      3707       Y             0.278468
      3707       Z             0.278468
      4634       X             0.196418
      4634       Y             0.196418
      4634       Z             0.196418
      3626       X             0.887089
      3626       Y             0.887089
      3626       Z             0.887089
      8952       Y             0.638903
      3499       X             0.492037
      3499       Y             0.492037
      3499       Z             0.492037
      8831       Y             0.574153
      3497       X             0.246691
      3497       Y             0.246691
      3497       Z             0.246691
      8830       Y             0.412094
      3495       X             0.245522
      3495       Y             0.245522
      3495       Z             0.245522
      8897       Y             0.724348
      3493       X             0.245522
      3493       Y             0.245522
      3493       Z             0.245522
      3383       X             0.363866
      3383       Y             0.363866
      3383       Z             0.363866
      4748       X             0.246691
      4748       Y             0.246691
      4748       Z             0.246691
      4767       X             0.197353
      4767       Y             0.197353
      4767       Z             0.197353
      4751       X             0.492037
      4751       Y             0.492037
      4751       Z             0.492037
      9063       Y             0.349296
      3491       X             0.245522
      3491       Y             0.245522
      3491       Z             0.245522
      4749       X             0.246691
      4749       Y             0.246691
      4749       Z             0.246691
      4766       X             0.197353
      4766       Y             0.197353
      4766       Z             0.197353
      9061       Y             0.371579
      3489       X             0.245522
      3489       Y             0.245522
      3489       Z             0.245522
      4756       X             0.240520
      4756       Y             0.240520
      4756       Z             0.240520
      9059       Y             0.355084
       583       X             0.950089
       583       Y             0.950089
       583       Z             0.950089
       582       X             0.700392
       582       Y             0.700392
       582       Z             0.700392
       584       X             0.549817
       584       Y             0.549817
       584       Z             0.549817
      3501       X             0.593494
      3501       Y             0.593494
      3501       Z             0.593494
       581       X             0.700392
       581       Y             0.700392
       581       Z             0.700392
       585       X             0.474528
       585       Y             0.474528
       585       Z             0.474528
      3500       X             0.728693
      3500       Y             0.728693
      3500       Z             0.728693
       580       X             0.700391
       580       Y             0.700391
       580       Z             0.700391
       586       X             0.615700
       586       Y             0.615700
       586       Z             0.615700
      4630       X             0.601945
      4630       Y             0.601945
      4630       Z             0.601945
       579       X             0.987732
       579       Y             0.987732
       579       Z             0.987732
       587       X             0.474528
       587       Y             0.474528
       587       Z             0.474528
      3699       X             0.840174
      3699       Y             0.840174
      3699       Z             0.840174
       588       X             0.474528
       588       Y             0.474528
       588       Z             0.474528
       493       X             0.648325
       493       Y             0.648325
       493       Z             0.648325
      3123       X             0.418385
      3123       Y             0.418385
      3123       Z             0.418385
      3124       X             0.418385
      3124       Y             0.418385
      3124       Z             0.418385
      3302       X             0.558060
      3302       Y             0.558060
      3302       Z             0.558060
      8805       Y             0.657490
      3597       X             0.486569
      3597       Y             0.486569
      3597       Z             0.486569
      3288       X             0.279793
      3288       Y             0.279793
      3288       Z             0.279793
      3595       X             0.243950
      3595       Y             0.243950
      3595       Z             0.243950
      8804       Y             0.511461
      3274       X             0.278467
      3274       Y             0.278467
      3274       Z             0.278467
      3593       X             0.242794
      3593       Y             0.242794
      3593       Z             0.242794
      3598       X             0.445632
      3598       Y             0.445632
      3598       Z             0.445632
      8884       Y             0.445039
      3260       X             0.278467
      3260       Y             0.278467
      3260       Z             0.278467
      3591       X             0.242794
      3591       Y             0.242794
      3591       Z             0.242794
      9810       X             0.295874
      9810       Y             0.295874
      9810       Z             0.295874
      8934       Y             0.418859
      3246       X             0.278467
      3246       Y             0.278467
      3246       Z             0.278467
      3589       X             0.242794
      3589       Y             0.242794
      3589       Z             0.242794
      8933       Y             0.930471
      3703       X             0.278468
      3703       Y             0.278468
      3703       Z             0.278468
      4632       X             0.196418
      4632       Y             0.196418
      4632       Z             0.196418
      3232       X             0.278467
      3232       Y             0.278467
      3232       Z             0.278467
      3587       X             0.242794
      3587       Y             0.242794
      3587       Z             0.242794
      3698       X             0.278468
      3698       Y             0.278468
      3698       Z             0.278468
      4629       X             0.196418
      4629       Y             0.196418
      4629       Z             0.196418
      9793       X             0.465071
      9793       Y             0.465071
      9793       Z             0.465071
      9809       X             0.295875
      9809       Y             0.295875
      9809       Z             0.295875
      8951       Y             0.418860
       578       X             0.700388
       578       Y             0.700388
       578       Z             0.700388
      3586       X             0.744063
      3586       Y             0.744063
      3586       Z             0.744063
      3697       X             0.700736
      3697       Y             0.700736
      3697       Z             0.700736
      4628       X             0.601946
      4628       Y             0.601946
      4628       Z             0.601946
      3714       X             0.283581
      3714       Y             0.283581
      3714       Z             0.283581
      3882       X             0.440100
      3882       Y             0.440100
      3882       Z             0.440100
      9008       Y             0.663206
      3880       X             0.220652
      3880       Y             0.220652
      3880       Z             0.220652
      9009       Y             0.425363
      9010       Y             0.492656
      3710       X             0.278468
      3710       Y             0.278468
      3710       Z             0.278468
      3878       X             0.219606
      3878       Y             0.219606
      3878       Z             0.219606
      9765       Y             0.513731
      9014       Y             0.494762
      3706       X             0.278468
      3706       Y             0.278468
      3706       Z             0.278468
      3876       X             0.219606
      3876       Y             0.219606
      3876       Z             0.219606
      3713       X             0.279794
      3713       Y             0.279794
      3713       Z             0.279794
      8989       Y             0.405108
      9015       Y             0.671010
      3622       X             0.281743
      3622       Y             0.281743
      3622       Z             0.281743
      8984       Y             0.674503
      9806       X             0.332858
      9806       Y             0.332858
      9806       Z             0.332858
      9025       Y             0.494744
      9036       Y             0.494986
      9035       Y             0.667497
      9811       X             0.330804
      9811       Y             0.330804
      9811       Z             0.330804
      9046       Y             0.409972
      3915       X             0.238017
      3915       Y             0.238017
      3915       Z             0.238017
      3928       X             0.193690
      3928       Y             0.193690
      3928       Z             0.193690
      3929       X             0.196417
      3929       Y             0.196417
      3929       Z             0.196417
      3940       X             0.240744
      3940       Y             0.240744
      3940       Z             0.240744
      9057       Y             0.412255
      3702       X             0.278468
      3702       Y             0.278468
      3702       Z             0.278468
      3874       X             0.219606
      3874       Y             0.219606
      3874       Z             0.219606
      3868       X             0.445631
      3868       Y             0.445631
      3868       Z             0.445631
      8985       Y             0.468261
      3365       X             0.775964
      3365       Y             0.775964
      3365       Z             0.775964
      8833       Y             0.791891
      3355       X             0.403764
      3355       Y             0.403764
      3355       Z             0.403764
      8832       Y             0.797850
      3345       X             0.401851
      3345       Y             0.401851
      3345       Z             0.401851
      8898       Y             0.866741
      3335       X             0.401851
      3335       Y             0.401851
      3335       Z             0.401851
      4009       X             0.696386
      4009       Y             0.696386
      4009       Z             0.696386
      9062       Y             0.592313
      3325       X             0.401851
      3325       Y             0.401851
      3325       Z             0.401851
      3381       X             0.362141
      3381       Y             0.362141
      3381       Z             0.362141
      4746       X             0.245522
      4746       Y             0.245522
      4746       Z             0.245522
      4765       X             0.196417
      4765       Y             0.196417
      4765       Z             0.196417
      4747       X             0.245522
      4747       Y             0.245522
      4747       Z             0.245522
      4764       X             0.196417
      4764       Y             0.196417
      4764       Z             0.196417
      4007       X             0.363866
      4007       Y             0.363866
      4007       Z             0.363866
      9060       Y             0.593137
      3315       X             0.401851
      3315       Y             0.401851
      3315       Z             0.401851
      4005       X             0.362142
      4005       Y             0.362142
      4005       Z             0.362142
      4755       X             0.239381
      4755       Y             0.239381
      4755       Z             0.239381
      9058       Y             0.590823
      1479       X             0.585386
